TripID,ID,WeekdayInt,WeekOfYearInt,HourInt,TripDurationInMinutes,RemainingTravelTimeInMinute,shiptype,Length,Breadth,Draught,Latitude,Longitude,SOG,COG,TH
424725,265659006,4,24,18,2307,2224,70,88,12,4.3,54.5,10.37,9.4,68.3,69
424725,265664552,4,24,18,2307,2230,70,88,12,4.3,54.49,10.34,9.4,66.8,68
424725,265667646,4,24,19,2307,2217,70,88,12,4.3,54.51,10.39,9.4,67.7,69
424725,266093467,4,24,23,2307,1942,70,88,12,4.3,54.46,11.56,9.2,111.7,114
424725,265668474,4,24,18,2307,2233,70,88,12,4.3,54.49,10.33,9.5,64.1,65
424725,265669373,4,24,18,2307,2254,70,88,12,4.3,54.45,10.26,9,37.7,35
424725,265669535,4,24,18,2307,2229,70,88,12,4.3,54.5,10.34,9.4,67.7,68
424725,265670541,4,24,18,2307,2223,70,88,12,4.3,54.5,10.37,9.4,68.2,69
424725,266104351,4,24,23,2307,1949,70,88,12,4.3,54.47,11.54,9.1,115.5,115
424725,265675369,4,24,18,2307,2232,70,88,12,4.3,54.49,10.33,9.4,63.3,64
424725,265678782,4,24,18,2307,2228,70,88,12,4.3,54.5,10.35,9.4,67.3,68
424725,265680541,4,24,18,2307,2243,70,88,12,4.3,54.48,10.29,9.1,42.6,44
424725,265681344,4,24,19,2307,2209,70,88,12,4.3,54.52,10.43,9.4,68.5,69
424725,266112377,4,24,23,2307,1948,70,88,12,4.3,54.47,11.54,9.1,114.8,114
424725,265681729,4,24,18,2307,2267,70,88,12,4.3,54.43,10.23,8.9,30.3,28
424725,265682183,4,24,19,2307,2216,70,88,12,4.3,54.51,10.4,9.4,67.3,69
424725,265682463,4,24,18,2307,2254,70,88,12,4.3,54.46,10.26,9,37.4,35
424725,265685870,4,24,18,2307,2222,70,88,12,4.3,54.5,10.37,9.4,67.8,69
424725,265686006,4,24,18,2307,2227,70,88,12,4.3,54.5,10.35,9.3,67.7,69
424725,266119398,4,24,23,2307,1957,70,88,12,4.3,54.48,11.5,9.3,117.6,114
424725,265691903,4,24,19,2307,2208,70,88,12,4.3,54.52,10.43,9.4,68.2,69
424725,265693454,4,24,18,2307,2226,70,88,12,4.3,54.5,10.36,9.3,68.1,69
424725,265698808,4,24,18,2307,2225,70,88,12,4.3,54.5,10.36,9.4,68.5,70
424725,265699213,4,24,19,2307,2207,70,88,12,4.3,54.52,10.44,9.4,68.2,69
424725,265699833,4,24,18,2307,2242,70,88,12,4.3,54.48,10.29,9.1,54.3,56
424725,265701204,4,24,19,2307,2214,70,88,12,4.3,54.51,10.41,9.4,67.7,69
424725,265706047,4,24,18,2307,2221,70,88,12,4.3,54.5,10.38,9.4,67.7,69
424725,265708317,4,24,19,2307,2213,70,88,12,4.3,54.51,10.41,9.4,67.8,69
424725,266131463,4,24,23,2307,1932,70,88,12,4.3,54.45,11.61,9.3,112,114
424725,266133612,4,24,23,2307,1961,70,88,12,4.3,54.48,11.49,9.3,117.7,114
424725,265710622,4,24,19,2307,2206,70,88,12,4.3,54.52,10.44,9.3,68.6,69
424725,266138373,4,24,23,2307,1937,70,88,12,4.3,54.45,11.59,9.3,112.1,114
424725,266142547,4,24,23,2307,1921,70,88,12,4.3,54.44,11.65,9.6,113.8,114
424725,265714489,4,24,18,2307,2241,70,88,12,4.3,54.48,10.3,9.2,59.1,57
424725,266147395,4,24,23,2307,1920,70,88,12,4.3,54.44,11.66,9.5,114.3,114
424725,265714639,4,24,19,2307,2202,70,88,12,4.3,54.52,10.46,9.4,68.9,69
424725,266152040,4,24,23,2307,1943,70,88,12,4.3,54.46,11.56,9.2,111.8,114
424725,266153012,4,24,23,2307,1933,70,88,12,4.3,54.45,11.6,9.3,111.3,114
424725,265715130,4,24,19,2307,2195,70,88,12,4.3,54.53,10.49,9.4,69.6,69
424725,265716333,4,24,19,2307,2187,70,88,12,4.3,54.54,10.52,9.4,70.2,69
424725,265719610,4,24,19,2307,2212,70,88,12,4.3,54.51,10.42,9.4,68.1,69
424725,266157526,4,24,23,2307,1918,70,88,12,4.3,54.44,11.67,9.6,114.7,113
424725,265719788,4,24,18,2307,2220,70,88,12,4.3,54.5,10.38,9.4,67.5,69
424725,266159476,4,24,23,2307,1953,70,88,12,4.3,54.47,11.52,9.2,116.3,114
424725,265720013,4,24,19,2307,2205,70,88,12,4.3,54.52,10.44,9.4,68.4,69
424725,265725755,4,24,19,2307,2186,70,88,12,4.3,54.54,10.52,9.4,70.1,69
424725,265726371,4,24,19,2307,2204,70,88,12,4.3,54.52,10.45,9.4,68.6,69
424725,265728077,4,24,19,2307,2194,70,88,12,4.3,54.53,10.49,9.4,69.5,69
424725,265730997,4,24,19,2307,2201,70,88,12,4.3,54.52,10.46,9.4,69,69
424725,265733538,4,24,19,2307,2185,70,88,12,4.3,54.54,10.53,9.4,70.5,69
424725,265733601,4,24,19,2307,2211,70,88,12,4.3,54.51,10.42,9.4,67.9,69
424725,265733660,4,24,18,2307,2240,70,88,12,4.3,54.48,10.3,9.2,56.4,54
424725,265737309,4,24,19,2307,2203,70,88,12,4.3,54.52,10.45,9.4,68.9,69
424725,265737462,4,24,19,2307,2184,70,88,12,4.3,54.54,10.53,9.3,70.5,69
424725,265740744,4,24,19,2307,2210,70,88,12,4.3,54.51,10.42,9.4,68,69
424725,265741696,4,24,19,2307,2193,70,88,12,4.3,54.53,10.5,9.4,69.5,69
424725,265742801,4,24,19,2307,2181,70,88,12,4.3,54.54,10.55,9.3,70.5,69
424725,265744701,4,24,19,2307,2183,70,88,12,4.3,54.54,10.54,9.3,70.2,69
424725,265749038,4,24,18,2307,2218,70,88,12,4.3,54.51,10.39,9.4,68,69
424725,265749124,4,24,19,2307,2180,70,88,12,4.3,54.54,10.55,9.3,70.2,69
424725,265749854,4,24,19,2307,2173,70,88,12,4.3,54.55,10.58,9.3,81.5,80
424725,265755833,4,24,19,2307,2179,70,88,12,4.3,54.54,10.55,9.3,70.7,69
424725,265760710,4,24,19,2307,2166,70,88,12,4.3,54.55,10.61,9.4,85.5,84
424725,265761073,4,24,19,2307,2172,70,88,12,4.3,54.55,10.58,9.3,81,81
424725,265762311,4,24,19,2307,2160,70,88,12,4.3,54.55,10.64,9.3,85.7,84
